iter	Passed	Remaining
0	73	14646
1	146	14510
2	225	14775
3	309	15165
4	385	15022
5	458	14822
6	536	14802
7	608	14602
8	689	14630
9	764	14521
10	836	14372
11	912	14288
12	990	14247
13	1066	14169
14	1158	14288
15	1244	14310
16	1329	14307
17	1407	14229
18	1482	14119
19	1561	14050
20	1637	13957
21	1713	13866
22	1786	13748
23	1864	13674
24	1943	13605
25	2019	13514
26	2099	13449
27	2171	13336
28	2250	13267
29	2324	13173
30	2398	13074
31	2477	13007
32	2553	12920
33	2637	12875
34	2708	12770
35	2782	12674
36	2860	12602
37	2931	12499
38	3004	12404
39	3081	12326
40	3154	12233
41	3235	12173
42	3312	12094
43	3395	12037
44	3466	11941
45	3542	11860
46	3628	11810
47	3700	11717
48	3773	11629
49	3849	11548
50	3923	11462
51	3993	11367
52	4069	11287
53	4145	11209
54	4224	11136
55	4309	11082
56	4391	11016
57	4478	10964
58	4550	10875
59	4623	10788
60	4693	10695
61	4768	10613
62	4850	10547
63	4917	10450
64	4994	10373
65	5065	10283
66	5142	10208
67	5216	10126
68	5291	10046
69	5370	9973
70	5441	9886
71	5516	9807
72	5589	9724
73	5664	9644
74	5733	9555
75	5808	9476
76	5893	9414
77	5971	9339
78	6045	9260
79	6120	9180
80	6190	9094
81	6265	9016
82	6354	8957
83	6446	8902
84	6519	8820
85	6594	8741
86	6667	8659
87	6744	8583
88	6819	8505
89	6897	8430
90	6974	8354
91	7051	8277
92	7123	8196
93	7193	8111
94	7279	8045
95	7358	7971
96	7440	7900
97	7518	7825
98	7600	7754
99	7682	7682
100	7761	7608
101	7845	7537
102	7932	7470
103	8015	7398
104	8101	7329
105	8179	7253
106	8259	7179
107	8344	7108
108	8423	7032
109	8500	6955
110	8583	6882
111	8664	6808
112	8741	6730
113	8820	6654
114	8912	6587
115	8993	6512
116	9077	6439
117	9156	6362
118	9246	6294
119	9334	6223
120	9418	6149
121	9495	6070
122	9574	5993
123	9656	5918
124	9737	5842
125	9820	5767
126	9908	5695
127	9991	5620
128	10079	5547
129	10171	5476
130	10260	5404
131	10341	5327
132	10436	5257
133	10533	5188
134	10626	5116
135	10729	5049
136	10817	4974
137	10924	4908
138	11029	4840
139	11128	4769
140	11216	4693
141	11296	4614
142	11395	4542
143	11487	4467
144	11583	4393
145	11676	4318
146	11758	4239
147	11836	4158
148	11922	4080
149	11996	3998
150	12080	3920
151	12161	3840
152	12238	3759
153	12317	3679
154	12398	3599
155	12478	3519
156	12561	3440
157	12644	3361
158	12733	3283
159	12815	3203
160	12897	3124
161	12980	3044
162	13064	2965
163	13145	2885
164	13231	2806
165	13312	2726
166	13391	2646
167	13470	2565
168	13560	2487
169	13655	2409
170	13730	2328
171	13815	2248
172	13899	2169
173	13982	2089
174	14060	2008
175	14137	1927
176	14215	1847
177	14303	1767
178	14387	1687
179	14467	1607
180	14541	1526
181	14621	1446
182	14709	1366
183	14789	1286
184	14868	1205
185	14947	1125
186	15032	1045
187	15109	964
188	15182	883
189	15268	803
190	15348	723
191	15420	642
192	15491	561
193	15567	481
194	15653	401
195	15731	321
196	15814	240
197	15890	160
198	15962	80
199	16045	0
